Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Power Rangers Samurai,Wii,2011,Action,Namco Bandai Games,0.27,0.02,0.0,0.02,0.32
Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters,0.06,0.14,0.07,0.05,0.32
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011,Role-Playing,Unknown,0.0,0.0,0.01,0.0,0.01
Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.39,0.0,0.16,2.02
Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,2.04
Spider-Man: Edge of Time,DS,2011,Action,Activision,0.12,0.01,0.0,0.01,0.14
Karaoke Revolution Glee: Volume 3,X360,2011,Misc,Konami Digital Entertainment,0.13,0.0,0.0,0.01,0.14
Sacra Terra: Angelic Night,PC,2011,Puzzle,Avanquest,0.01,0.02,0.0,0.01,0.03
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.53,0.18,0.0,0.06,0.77
7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,0.01,0.02,0.0,0.0,0.03
Fable III,PC,2011,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32
"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive,0.14,0.15,0.0,0.03,0.32
ICO,PS3,2011,Action,Sony Computer Entertainment,0.0,0.0,0.06,0.0,0.06
Eigo de Tabisuru: Little Charo,DS,2011,Misc,Nintendo,0.0,0.0,0.06,0.0,0.06
EverQuest II: Destiny of Velious,PC,2011,Role-Playing,Sony Online Entertainment,0.06,0.0,0.0,0.0,0.06
Army Corps of Hell,PSV,2011,Action,Square Enix,0.04,0.04,0.0,0.02,0.09
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
Jillian Michaels' Fitness Adventure,X360,2011,Misc,505 Games,0.17,0.02,0.0,0.01,0.2
Dead Rising 2: Off the Record,PC,2011,Action,Capcom,0.04,0.02,0.0,0.01,0.06
Minute to Win It,X360,2011,Misc,Zoo Games,0.3,0.0,0.0,0.02,0.32
Dance! It's Your Stage,PS3,2011,Misc,DTP Entertainment,0.0,0.02,0.0,0.0,0.02
Elminage Original: Majo to Megami to Kamigami no Yubiwa,PSP,2011,Role-Playing,Starfish,0.0,0.0,0.02,0.0,0.02
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21
The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft,0.2,0.1,0.0,0.03,0.32
The Adventures of Tintin: The Game,Wii,2011,Action,Ubisoft,0.12,0.16,0.0,0.04,0.32
Dead Rising 2: Off the Record,PS3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.32
Clannad,PS3,2011,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03
NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58
Dream C Club Zero,X360,2011,Simulation,D3Publisher,0.0,0.0,0.03,0.0,0.03
Supreme Ruler: Cold War,PC,2011,Strategy,Paradox Interactive,0.0,0.03,0.0,0.01,0.03
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58
BIT.TRIP SAGA,3DS,2011,Misc,Rising Star Games,0.09,0.04,0.0,0.01,0.14
MotoGP 10/11,X360,2011,Racing,Capcom,0.0,0.05,0.0,0.01,0.06
Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.31,0.0,0.16,2.1
NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11
Harry Potter and the Deathly Hallows - Part 2,PS3,2011,Action,Electronic Arts,0.14,0.13,0.0,0.05,0.32
Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,3DS,2011,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
Airport Simulator,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2
Santa Claus Is Comin' to Town!,Wii,2011,Puzzle,Crave Entertainment,0.06,0.0,0.0,0.0,0.06
Puyo Puyo!! 20th Anniversary,DS,2011,Puzzle,Sega,0.0,0.0,0.14,0.0,0.14
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,0.33,0.33,0.0,0.12,0.78
Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.4,0.31,0.0,0.07,0.78
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57
All Kamen Rider: Rider Generation,DS,2011,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0.0,0.29,0.0,0.04,0.33
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,Electronic Arts,0.17,0.13,0.0,0.03,0.33
Mystery Stories: Curse of the Ancient Spirits,DS,2011,Adventure,GSP,0.04,0.04,0.0,0.01,0.09
Two Worlds II,PC,2011,Role-Playing,Unknown,0.09,0.09,0.0,0.02,0.2
7th Dragon 2020,PSP,2011,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2
Major League Baseball 2K11,PS3,2011,Sports,Take-Two Interactive,0.15,0.03,0.0,0.02,0.2
Hoppie,DS,2011,Platform,Jack of All Games,0.02,0.0,0.0,0.0,0.02
Joker no Kuni no Alice: Wonderful Wonder World,PSP,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
Onechanbara Special,PSP,2011,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
Jewel Master: Cradle Of Rome 2,DS,2011,Puzzle,Rising Star Games,0.0,0.02,0.0,0.0,0.02
Winter Sports 2011,X360,2011,Sports,DTP Entertainment,0.0,0.02,0.0,0.0,0.02
Rio,PS3,2011,Misc,THQ,0.04,0.07,0.0,0.02,0.14
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73
National Geographic Challenge!,Wii,2011,Misc,Black Bean Games,0.07,0.02,0.0,0.01,0.09
MindJack,X360,2011,Shooter,Square Enix,0.07,0.02,0.0,0.01,0.09
DokuSui: DokiDoki Suikoden,PSP,2011,Role-Playing,Irem Software Engineering,0.0,0.0,0.01,0.0,0.01
Skylanders: Spyro's Adventure,PC,2011,Action,Activision,0.05,0.03,0.0,0.01,0.1
SingStar: Back to the 80s,PS3,2011,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.04,0.2
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0.0,0.01,0.1
NASCAR Unleashed,PS3,2011,Racing,Activision,0.09,0.0,0.0,0.01,0.1
Thor: God of Thunder,3DS,2011,Action,Sega,0.06,0.03,0.0,0.01,0.1
Earth Defense Force: Insect Armageddon,PS3,2011,Shooter,D3Publisher,0.06,0.04,0.08,0.02,0.2
Elminage III: Ankoku no Shito to Yaiyou no Kyuuden,PSP,2011,Role-Playing,Starfish,0.0,0.0,0.02,0.0,0.02
Hakuouki: Yuugi Roku DS,DS,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios,0.0,0.0,0.33,0.0,0.33
LEGO Pirates of the Caribbean: The Video Game,PSP,2011,Action,Disney Interactive Studios,0.12,0.13,0.0,0.08,0.33
The King of Fighters XIII,X360,2011,Fighting,Rising Star Games,0.23,0.06,0.01,0.03,0.33
We Dance,Wii,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15
Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57
Emily Archer and the Curse of Tutankhamun,DS,2011,Adventure,Mastertronic,0.0,0.02,0.0,0.0,0.03
Blackwater,X360,2011,Shooter,505 Games,0.09,0.02,0.0,0.01,0.12
Thor: God of Thunder,DS,2011,Action,Sega,0.08,0.03,0.0,0.01,0.12
Touch My Katamari ,PSV,2011,Puzzle,Namco Bandai Games,0.07,0.03,0.0,0.02,0.12
Ben 10 Galactic Racing,Wii,2011,Racing,D3Publisher,0.08,0.03,0.0,0.01,0.12
Paws & Claws: Pampered Pets 2,DS,2011,Simulation,THQ,0.05,0.0,0.0,0.0,0.06
Captain America: Super Soldier,PS3,2011,Action,Sega,0.1,0.06,0.0,0.03,0.19
Ben 10 Galactic Racing,X360,2011,Racing,D3Publisher,0.07,0.02,0.0,0.01,0.1
Start the Party! Save the World,PS3,2011,Misc,Sony Computer Entertainment,0.0,0.08,0.0,0.02,0.1
FabStyle,3DS,2011,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Supremacy MMA,PS3,2011,Fighting,505 Games,0.07,0.03,0.0,0.02,0.12
Gundam Memories: Tatakai no Kioku,PSP,2011,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
Metal Gear Solid: Peace Walker HD Edition,PS3,2011,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15
Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,0.14,0.0,0.0,0.01,0.15
Sangoku Koi Senki: Otome no Heihou!,PS2,2011,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
Sengoku,PC,2011,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.01
X-Men: Destiny,Wii,2011,Action,Activision,0.07,0.02,0.0,0.01,0.1
Generator Rex: Agent of Providence,3DS,2011,Action,Activision,0.07,0.02,0.0,0.01,0.1
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0.0,0.19,1.16
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.36,0.0,0.1,1.16
Senritsu no Stratus,PSP,2011,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
Vitamin X to Z,PSP,2011,Adventure,D3Publisher,0.0,0.0,0.06,0.0,0.06
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34
The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34
Way of the Samurai 4,PS3,2011,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.19
UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,Sports,THQ,0.08,0.08,0.0,0.03,0.19
NCIS,PS3,2011,Adventure,Ubisoft,0.07,0.04,0.0,0.02,0.12
Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03
The Cursed Crusade,PC,2011,Action,DTP Entertainment,0.0,0.03,0.0,0.01,0.03
Monkey Island: Special Edition Collection,X360,2011,Adventure,Activision,0.0,0.05,0.0,0.01,0.06
Atari's Greatest Hits: Volume 2,DS,2011,Misc,Atari,0.05,0.0,0.0,0.0,0.06
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34
WWE '12,Wii,2011,Fighting,THQ,0.23,0.08,0.0,0.03,0.34
Meikyuu Cross Blood: Reloaded,X360,2011,Action,Unknown,0.0,0.0,0.02,0.0,0.02
Moujuutsukai to Oujisama: Snow Bride,PS2,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14
Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.75,0.21,0.05,0.12,1.14
WWE All Stars,X360,2011,Fighting,THQ,0.18,0.14,0.0,0.03,0.34
Instant Brain,X360,2011,Adventure,Cave,0.0,0.0,0.01,0.0,0.01
Coronation Street: The Mystery of the Missing Hotpot Recipe,PC,2011,Adventure,Avanquest,0.0,0.01,0.0,0.0,0.01
Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,Crave Entertainment,0.09,0.0,0.0,0.01,0.1
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.26,0.0,0.06,0.56
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
The Sims Medieval: Pirates and Nobles,PC,2011,Simulation,Electronic Arts,0.05,0.08,0.0,0.02,0.15
thinkSMART: Chess for Kids,DS,2011,Misc,Mentor Interactive,0.01,0.0,0.0,0.0,0.01
Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04,0.35
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34
Puss in Boots,DS,2011,Action,THQ,0.08,0.01,0.0,0.01,0.1
Marvel Super Hero Squad: Comic Combat,PS3,2011,Action,THQ,0.11,0.05,0.0,0.03,0.19
Pac-Man & Galaga Dimensions,3DS,2011,Misc,Namco Bandai Games,0.1,0.04,0.04,0.01,0.19
Warriors: Legends of Troy,X360,2011,Action,Tecmo Koei,0.0,0.04,0.01,0.01,0.06
Champion Jockey: G1 Jockey & Gallop Racer,X360,2011,Sports,Tecmo Koei,0.0,0.05,0.0,0.01,0.06
HOP,DS,2011,Platform,505 Games,0.08,0.01,0.0,0.01,0.1
Vampire Mansion: Linda Hyde,DS,2011,Adventure,Unknown,0.0,0.02,0.0,0.0,0.02
Rocksmith,PS3,2011,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.12
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0.0,0.09,1.13
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011,Misc,Capcom,0.0,0.0,0.05,0.0,0.05
God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55
Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81
Conduit 2,Wii,2011,Shooter,Sega,0.07,0.04,0.0,0.01,0.12
McDROID,Wii,2011,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,0.09,0.01,0.0,0.01,0.1
Kimi ni Todoke: Tsutaeru Kimochi,DS,2011,Adventure,Banpresto,0.0,0.0,0.05,0.0,0.05
NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0.0,0.0,0.01,0.19
SpongeBob's Surf & Skate Roadtrip,X360,2011,Action,THQ,0.15,0.03,0.0,0.01,0.19
Cabela's Adventure Camp,X360,2011,Misc,Activision,0.07,0.02,0.0,0.01,0.1
Monkey Island: Special Edition Collection,PS3,2011,Adventure,Activision,0.0,0.08,0.0,0.02,0.1
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11
Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11
Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.19,0.01,0.08,1.12
Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,0.27,0.06,0.0,0.03,0.35
Jonah Lomu Rugby Challenge,PC,2011,Sports,Home Entertainment Suppliers,0.0,0.04,0.0,0.01,0.05
Heavy Fire: Afghanistan,Wii,2011,Shooter,Mastiff,0.09,0.0,0.0,0.01,0.1
Alvin and the Chipmunks: Chipwrecked,DS,2011,Misc,505 Games,0.06,0.03,0.0,0.01,0.1
Metal Gear Solid HD Edition,PS3,2011,Action,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1
Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.17,0.0,0.0,0.01,0.19
NASCAR Unleashed,X360,2011,Racing,Activision,0.11,0.0,0.0,0.01,0.12
Rayman Origins,Wii,2011,Platform,Ubisoft,0.21,0.27,0.0,0.06,0.55
MX vs. ATV: Alive,X360,2011,Racing,THQ,0.37,0.13,0.0,0.04,0.55
Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55
We Sing UK Hits,Wii,2011,Misc,Nordic Games,0.0,0.13,0.0,0.02,0.15
The Oregon Trail,Wii,2011,Simulation,Crave Entertainment,0.14,0.0,0.0,0.01,0.15
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57
Heavy Fire: The Chosen Few 3D,3DS,2011,Shooter,Mastiff,0.02,0.0,0.0,0.0,0.02
Omerta: City of Gangsters,PS3,2011,Simulation,Konami Digital Entertainment,0.52,0.42,0.0,0.15,1.1
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,0.9,0.12,0.0,0.08,1.1
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.36,0.0,0.36
Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.36
Digger Simulator,PC,2011,Simulation,Excalibur Publishing,0.0,0.01,0.0,0.0,0.01
Madden NFL 12,PS3,2011,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25
Dead Island,PS3,2011,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27
Earth Defense Force: Insect Armageddon,X360,2011,Shooter,D3Publisher,0.1,0.04,0.03,0.01,0.19
Magicka Collection,PC,2011,Adventure,Unknown,0.0,0.02,0.0,0.0,0.03
Angelique: Maren no Rokukishi,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
SpongeBob's Surf & Skate Roadtrip,DS,2011,Action,THQ,0.1,0.01,0.0,0.01,0.12
Weiss Schwarz Portable,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05
IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05
McDROID,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
GachiTora! Abarenbou Kyoushi in High School,PSP,2011,Action,Spike,0.0,0.0,0.05,0.0,0.05
Petz Bunnyz Bunch,DS,2011,Simulation,Ubisoft,0.05,0.0,0.0,0.0,0.05
Cities in Motion Collection,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02
Moujuutsukai to Oujisama Portable,PSP,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
My Fitness Coach: Club,Wii,2011,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.05
Pucca Power Up,DS,2011,Platform,Rising Star Games,0.04,0.01,0.0,0.0,0.05
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega,0.15,0.16,0.0,0.06,0.37
100 Classic Games,DS,2011,Misc,Rondomedia,0.0,0.03,0.0,0.0,0.04
DreamWorks Super Star Kartz,3DS,2011,Racing,Activision,0.08,0.03,0.0,0.01,0.12
Uta no Prince-Sama: Music,PSP,2011,Misc,Broccoli,0.0,0.0,0.1,0.0,0.1
Uta no * Prince-Sama: Sweet Serenade,PSP,2011,Adventure,Broccoli,0.0,0.0,0.01,0.0,0.01
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1.38,0.72,0.02,0.22,2.34
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.73,0.43,0.02,0.17,2.35
Magical ZhuZhu Princess: Carriages & Castles,DS,2011,Simulation,Activision,0.13,0.04,0.0,0.01,0.19
LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,0.61,0.38,0.0,0.1,1.09
Centipede: Infestation,Wii,2011,Shooter,Atari,0.05,0.0,0.0,0.0,0.05
Rango: The Video Game,PS3,2011,Action,Electronic Arts,0.07,0.09,0.0,0.03,0.19
WWE All Stars,Wii,2011,Fighting,THQ,0.1,0.07,0.0,0.02,0.19
Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19
F1 2011,PC,2011,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19
Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0.0,0.03,0.19
Reel Fishing Paradise 3D,3DS,2011,Sports,Marvelous Interactive,0.12,0.0,0.06,0.01,0.19
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,0.33,0.02,0.0,0.02,0.37
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,0.14,0.15,0.0,0.08,0.37
The Lord of the Rings: War in the North,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19
Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54
Monster Hunter Frontier Online: Forward 2,X360,2011,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03
Shadows of the Damned,X360,2011,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19
Toaru Majutsu no Index,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.1,0.0,0.1
Gem Quest: 4 Elements,DS,2011,Puzzle,Mastertronic,0.05,0.05,0.0,0.01,0.1
"Sesame Street: Ready, Set, Grover!",Wii,2011,Misc,Warner Bros. Interactive Entertainment,0.1,0.0,0.0,0.01,0.1
Rune Factory: Tides of Destiny,Wii,2011,Role-Playing,Marvelous Interactive,0.13,0.0,0.06,0.01,0.19
Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,PSP,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07
Jewel Legends: Tree of Life,DS,2011,Puzzle,Rising Star Games,0.0,0.04,0.0,0.01,0.05
Hunted: The Demon's Forge,PC,2011,Action,Bethesda Softworks,0.03,0.01,0.0,0.0,0.05
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,0.0,0.0,0.37,0.0,0.37
Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0.0,0.2,2.37
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,0.22,2.4
APB Reloaded,PC,2011,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04
Batman: Arkham City,PC,2011,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53
Amagami,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.15,0.0,0.15
FIFA 12,X360,2011,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.03,0.38
Steins;Gate,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.19,0.0,0.19
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,2011,Action,THQ,0.06,0.03,0.0,0.01,0.1
Cities in Motion,PC,2011,Simulation,Paradox Interactive,0.0,0.04,0.0,0.01,0.05
Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision,0.14,0.03,0.0,0.01,0.18
Biohazard: Revival Selection,PS3,2011,Action,Capcom,0.0,0.0,0.18,0.0,0.18
Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18
Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0.0,0.06,0.38
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ,0.25,0.1,0.0,0.03,0.39
Back to the Future: The Game,Wii,2011,Adventure,Telltale Games,0.05,0.0,0.0,0.0,0.05
Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.83
Deca Sports Extreme,3DS,2011,Sports,Hudson Soft,0.08,0.0,0.03,0.01,0.12
Deepak Chopra's Leela,X360,2011,Misc,THQ,0.07,0.04,0.0,0.01,0.12
Major League Baseball 2K11,Wii,2011,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15
The Adventures of Tintin: The Game,3DS,2011,Action,Ubisoft,0.05,0.09,0.0,0.02,0.15
de Blob 2,X360,2011,Platform,THQ,0.1,0.04,0.0,0.01,0.15
DiRT 3,PC,2011,Racing,Codemasters,0.0,0.13,0.0,0.03,0.15
Two Worlds II,X360,2011,Role-Playing,Unknown,0.4,0.07,0.03,0.03,0.54
Love Once: Mermaid's Tears,PS3,2011,Adventure,Unknown,0.0,0.0,0.02,0.0,0.02
Umineko no Naku Koro ni Portable 1,PSP,2011,Adventure,Alchemist,0.0,0.0,0.01,0.0,0.01
Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome!,DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
The First Templar,X360,2011,Action,Kalypso Media,0.06,0.04,0.0,0.01,0.1
Castlevania: Lords of Shadow - Reverie,X360,2011,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
Mega Minis Volume 3,PSP,2011,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.01,0.05
Dungeon Siege III,PS3,2011,Role-Playing,Square Enix,0.17,0.13,0.03,0.05,0.39
Red Faction: Armageddon,X360,2011,Shooter,THQ,0.18,0.16,0.01,0.04,0.39
Arcana Heart 3,X360,2011,Fighting,PQube,0.0,0.02,0.02,0.0,0.05
Fishing Resort,Wii,2011,Sports,Namco Bandai Games,0.14,0.0,0.25,0.01,0.39
Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39
FIFA 12,3DS,2011,Sports,Electronic Arts,0.08,0.26,0.0,0.05,0.39
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.41,0.73,0.27,3.85
Worms: Ultimate Mayhem,PC,2011,Strategy,Unknown,0.0,0.03,0.0,0.0,0.04
NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83
Sora no Otoshimono Forte: Dreamy Season,DS,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
Majesty 2 Collection,PC,2011,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.02
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83
Yoostar2,PS3,2011,Misc,Unknown,0.04,0.04,0.0,0.02,0.1
WWE All Stars,PSP,2011,Fighting,THQ,0.12,0.04,0.0,0.03,0.18
Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision,0.11,0.05,0.0,0.02,0.18
Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.42,0.07,0.0,0.04,0.53
Cars 2,PS3,2011,Racing,Disney Interactive Studios,0.22,0.21,0.0,0.09,0.52
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95
