Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Revolution: 25th Anniversary Collection,PC,2016,Adventure,Koch Media,0.0,0.02,0.0,0.0,0.02
LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.12,0.0,0.04,0.27
Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom,0.0,0.0,0.02,0.0,0.02
Prototype: Biohazard Bundle,PS4,2016,Action,Activision,0.01,0.0,0.0,0.0,0.02
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0.0,0.03,0.01,0.08
Toukiden 2,PS4,2016,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7
New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,0.0,0.0,0.02,0.0,0.02
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23
Monster Hunter Stories,3DS,2016,Action,Capcom,0.0,0.0,0.28,0.0,0.28
3DS Classic Collection,3DS,2016,Misc,Sega,0.03,0.0,0.0,0.0,0.03
Song of the Deep,PC,2016,Action,Insomniac Games,0.03,0.0,0.0,0.0,0.03
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
LEGO Marvel's Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.07,0.0,0.03,0.12
Ride 2,XOne,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
Zettai Kaikyuu Gakuen: Eden with Roses and Phantasm,PSV,2016,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0.0,0.01,0.14
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0.0,0.0,0.12,0.0,0.12
Prison Architect,PS4,2016,Action,Introversion Software,0.01,0.01,0.0,0.01,0.03
DiRT Rally,PC,2016,Racing,Codemasters,0.0,0.03,0.0,0.0,0.03
Mafia III,XOne,2016,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.07,0.01,0.01,0.12
Super Dungeon Bros,PS4,2016,Action,Nordic Games,0.01,0.0,0.0,0.0,0.01
Ride 2,PC,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6
Batman: A Telltale Game Series,X360,2016,Adventure,Telltale Games,0.01,0.02,0.0,0.0,0.03
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.44,0.25,0.0,0.07,0.76
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.02,0.02,0.03,0.01,0.07
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75
Dead Rising 2,XOne,2016,Action,Capcom,0.01,0.0,0.0,0.0,0.02
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo,0.0,0.0,0.22,0.0,0.22
Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35
Uppers,PSV,2016,Action,Marvelous Entertainment,0.0,0.0,0.02,0.0,0.02
UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.22,0.04,0.04,0.29
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09
Berserk and the Band of the Hawk,PSV,2016,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
Gundam Breaker 3,PSV,2016,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15
Sengoku Basara: Sanada Yukimura-Den,PS3,2016,Action,Capcom,0.0,0.0,0.03,0.0,0.03
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
Dead Rising 2,PS4,2016,Action,Capcom,0.01,0.0,0.01,0.0,0.03
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.03,0.08,0.0,0.01,0.12
Yokai Watch 3,3DS,2016,Action,Level 5,0.0,0.0,1.33,0.0,1.33
Caligula,PSV,2016,Role-Playing,FuRyu,0.0,0.0,0.06,0.0,0.06
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.12,0.08,0.0,0.02,0.22
Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
Mark McMorris Infinite Air,XOne,2016,Sports,FuRyu Corporation,0.01,0.0,0.0,0.0,0.02
ZombiU,XOne,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
Metal Gear Solid V: The Definitive Experience,XOne,2016,Action,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0.0,0.0,0.3,0.0,0.3
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15
River City Ransom SP,3DS,2016,Action,Arc System Works,0.0,0.0,0.01,0.0,0.01
Root Letter,PS4,2016,Adventure,PQube,0.0,0.0,0.01,0.0,0.01
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15
Destiny: The Collection,XOne,2016,Shooter,Activision,0.05,0.06,0.0,0.01,0.12
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0.0,0.1,0.0,0.12
Just Dance 2017,PS4,2016,Misc,Ubisoft,0.02,0.0,0.0,0.01,0.03
Rugby Challenge 3,PS3,2016,Sports,Alternative Software,0.0,0.02,0.0,0.0,0.03
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,Aqua Plus,0.0,0.0,0.06,0.0,0.06
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.05,0.0,0.0,0.06
TrackMania Turbo,XOne,2016,Action,Ubisoft,0.02,0.04,0.0,0.0,0.06
Hitman (2016),XOne,2016,Action,Square Enix,0.0,0.01,0.0,0.0,0.01
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0.0,0.01,0.0,0.0,0.01
Eve: Burst Error R,PSV,2016,Action,Red Flagship,0.0,0.0,0.01,0.0,0.01
Terraria,3DS,2016,Action,505 Games,0.0,0.04,0.05,0.0,0.09
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3
One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06
Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.06
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0.0,0.02,0.12
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0.0,0.0,0.12,0.0,0.12
Resident Evil 5 HD,PS4,2016,Action,Capcom,0.02,0.0,0.0,0.01,0.03
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,0.01,0.01,0.0,0.0,0.03
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57
One Piece: Daikaizoku Coliseum,3DS,2016,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08
Cartoon Network Battle Crashers,3DS,2016,Action,FuRyu Corporation,0.01,0.0,0.0,0.0,0.01
Farming Simulator 17,XOne,2016,Simulation,Focus Home Interactive,0.04,0.07,0.0,0.01,0.12
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Need for Speed (2015),PC,2016,Racing,Electronic Arts,0.0,0.03,0.0,0.0,0.03
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88
World of Final Fantasy,PSV,2016,Role-Playing,Square Enix,0.04,0.06,0.08,0.03,0.21
Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.07,0.13,0.0,0.02,0.21
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.14,0.0,0.05,0.02,0.21
Fate/Extella: The Umbral Star,PSV,2016,Action,PQube,0.0,0.0,0.09,0.0,0.09
Strawberry Nauts,PSV,2016,Adventure,Unknown,0.0,0.0,0.01,0.0,0.01
Attack on Titan (KOEI),PS3,2016,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.02,0.04,0.0,0.01,0.06
Summon Night 6: Lost Borders,PSV,2016,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
Attack on Titan (KOEI),XOne,2016,Action,Tecmo Koei,0.02,0.03,0.0,0.0,0.06
 Beyblade Burst,3DS,2016,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03
Duke Nukem 3D: 20th Anniversary World Tour,XOne,2016,Shooter,Gearbox Software,0.02,0.0,0.0,0.0,0.03
Harvest Moon: Skytree Village,3DS,2016,Simulation,Natsume,0.02,0.0,0.0,0.0,0.03
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0.0,0.0,0.03,0.0,0.03
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0.0,0.03,0.0,0.0,0.03
Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Yakuza Kiwami,PS3,2016,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
R.B.I. Baseball 2016,PS4,2016,Sports,MLB.com,0.01,0.0,0.0,0.0,0.01
TrackMania Turbo,PC,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Yokai Sangokushi,3DS,2016,Action,Level 5,0.0,0.0,0.56,0.0,0.56
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56
The Longest 5 Minutes,PSV,2016,Action,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01
Haitaka no Psychedelica,PSV,2016,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
Samurai Warriors: Sanada Maru,PS3,2016,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0.0,0.0,0.0,0.02
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.01,0.0,0.0,0.0,0.02
RollerCoaster Tycoon World,PC,2016,Simulation,Atari,0.0,0.02,0.0,0.0,0.02
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32
Song of the Deep,XOne,2016,Action,Insomniac Games,0.05,0.0,0.0,0.01,0.06
My Hero Academia: Battle for All,3DS,2016,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8
NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.09,0.02,0.0,0.01,0.12
Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
FIFA 17,PC,2016,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12
Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
Sengoku Otome: Legend Battle,PSV,2016,Action,Unknown,0.0,0.0,0.03,0.0,0.03
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
King's Quest: The Complete Collection,PS4,2016,Adventure,Activision,0.01,0.0,0.0,0.0,0.02
Atari Flashback Classics: Volume 1,PS4,2016,Misc,Atari,0.02,0.0,0.0,0.0,0.03
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0.0,0.0,0.03
Dynasty Warriors: Eiketsuden,PSV,2016,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
Kamigami no Asobi InFinite,PSV,2016,Adventure,Broccoli,0.0,0.0,0.01,0.0,0.01
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
Wand of Fortune R,PSV,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Just Dance 2017,XOne,2016,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.04
Just Dance 2017,X360,2016,Misc,Ubisoft,0.02,0.02,0.0,0.0,0.04
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.06
